_id,IdentificationNumber,Department,Status,DateReported,Date Closed,Category1,Category2,Category3,Category4
1066,2021-0237,Milwaukee Police Department,Closed,10/4/2021,8/16/2024,"Restraint, 6.01 - Excessive use of force - Bodily",,,
1067,2021-0238,Milwaukee Police Department,Closed,10/11/2021,10/29/2021,"Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure",,,
1068,2021-0239,Milwaukee Police Department,Closed,10/7/2021,4/25/2023,"Restraint, 6.01 - Excessive use of force - Firearm",,,
1069,2021-0240,Milwaukee Police Department,Closed,10/11/2021,1/19/2022,"Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure","Leadership, 4.04 - FT ensure subordinates carry out duties",,
1070,2021-0241,Milwaukee Police Department,Closed,10/13/2021,11/30/2022,"Respect, 5.01 - FT be civil & courteous",,,
1071,2021-0242,Milwaukee Police Department,Closed,10/13/2021,11/12/2021,"Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure","Leadership, 4.01 - FT set an example",,
1072,2021-0243,Milwaukee Police Department,Closed,10/13/2021,7/14/2022,"Restraint, 6.01 - Excessive use of force - Bodily",,,
1073,2021-0244,Milwaukee Police Department,Closed,10/6/2021,12/15/2021,"Respect, 5.01 - FT be civil & courteous",,,
1074,2021-0245,Milwaukee Police Department,Closed,10/14/2021,11/17/2022,"Competence, 1.05 - SOP Vehicle Operations",,,
1075,2021-0246,Milwaukee Police Department,Closed,10/14/2021,1/20/2023,"Competence, 1.05 - SOP Prisoners and Booking","Integrity, 3.10 - FT be forthright or candid in a report",,
1076,2021-0247,Milwaukee Police Department,Closed,10/14/2021,10/28/2021,"Respect, 5.01 - FT be civil & courteous",,,
1077,2021-0248,Milwaukee Police Department,Closed,10/15/2021,2/7/2023,"Competence, 1.04 - FT File Accurate Reports",,,
1078,2021-0249,Milwaukee Police Department,Closed,10/18/2021,11/17/2021,"Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure",,,
1079,2021-0250,Milwaukee Police Department,Closed,10/19/2021,2/2/2022,"Integrity, 3.03 - Unfair arrest",,,
1080,2021-0251,Milwaukee Police Department,Closed,10/19/2021,2/27/2023,"Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure","Leadership, 4.04 - FT ensure subordinates carry out duties",,
1081,2021-0252,Milwaukee Police Department,Closed,10/19/2021,8/10/2022,"Integrity, 3.05 - FT CITY - OWI",,,
1082,2021-0253,Milwaukee Police Department,Closed,10/19/2021,10/29/2021,"Competence, 1.05 - SOP Social Networking Sites",,,
1083,2021-0254,Milwaukee Police Department,Closed,10/2/2021,11/3/2021,"Respect, 5.01 - FT treat the public with courtesy & professionalism","Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure",,
1084,2021-0255,Milwaukee Police Department,Closed,10/20/2021,1/19/2023,"Competence, 1.04 - FT Fully Investigate","Competence, 1.05 - SOP Property","Competence, 1.05 - SOP Bodyworn Camera",
1085,2021-0256,Milwaukee Police Department,Closed,10/20/2021,2/6/2023,"Competence, 1.05 - SOP Prisoners and Booking",,,
1086,2021-0257,Milwaukee Police Department,Closed,10/20/2021,2/14/2022,"Competence, 1.05 - SOP Prisoners",,,
1087,2021-0258,Milwaukee Police Department,Closed,10/21/2021,3/16/2023,"Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure","Leadership, 4.04 - FT ensure subordinates carry out duties",,
1088,2021-0259,Milwaukee Police Department,Closed,10/21/2021,12/7/2021,"Competence, 1.05 - SOP Uniforms/Equipment",,,
1089,2021-0260,Milwaukee Police Department,Closed,10/25/2021,6/10/2022,"Competence, 1.04 - FT Fully Investigate","Competence, 1.05 - SOP Crime Scene Investigations",,
1090,2021-0261,Milwaukee Police Department,Closed,10/25/2021,7/5/2022,"Integrity, 3.05 - FT City - ORDINANCE",,,
1091,2021-0262,Milwaukee Police Department,Closed,10/28/2021,4/8/2022,"Competence, 1.04 - FT Fully Investigate","Respect, 5.01 - FT be civil & courteous",,
1092,2021-0263,Milwaukee Police Department,Closed,10/29/2021,3/2/2023,"Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure","Leadership, 4.04 - FT ensure subordinates carry out duties",,
1093,2021-0264,Milwaukee Police Department,Closed,11/1/2021,5/16/2022,"Competence, 1.04 - FT Fully Investigate",,,
1094,2021-0265,Milwaukee Police Department,Closed,11/1/2021,1/19/2023,"Integrity, 3.05 - FT CITY - OWI",,,
1095,2021-0266,Milwaukee Police Department,Closed,11/4/2021,6/6/2022,"Competence, 1.05 - SOP Vehicle Pursuits","Courage, 2.03 - FT intervene when violation of COC","Leadership, 4.04 - FT ensure subordinates carry out duties",
1096,2021-0267,Milwaukee Police Department,Closed,11/8/2021,2/20/2023,"Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure","Leadership, 4.04 - FT ensure subordinates carry out duties",,
1097,2021-0268,Milwaukee Police Department,Closed,11/8/2021,3/14/2023,"Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure","Leadership, 4.04 - FT ensure subordinates carry out duties",,
1098,2021-0269,Milwaukee Police Department,Closed,11/8/2021,8/10/2022,"Integrity, 3.05 - FT CITY - OWI",,,
1099,2021-0270,Milwaukee Police Department,Closed,11/8/2021,1/31/2023,"Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure","Leadership, 4.04 - FT ensure subordinates carry out duties",,
1100,2021-0271,Milwaukee Police Department,Closed,11/9/2021,1/26/2022,"Competence, 1.04 - FT Fully Investigate",,,
1101,2021-0272,Milwaukee Police Department,Closed,11/9/2021,2/18/2022,"Competence, 1.03",,,
1102,2021-0273,Milwaukee Police Department,Closed,11/10/2021,1/18/2023,"Integrity, 3.06 - Interfering in business of another",,,
1103,2021-0274,Milwaukee Police Department,Closed,11/10/2021,1/31/2023,"Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure",,,
1104,2021-0275,Milwaukee Police Department,Closed,11/10/2021,1/18/2022,"Competence, 1.04 - FT Fully Investigate",,,
1105,2021-0276,Milwaukee Police Department,Closed,11/11/2021,5/18/2023,"Competence, 1.05 - SOP Citizen Contact, FI's, Search & Seizure","Leadership, 4.04 - FT ensure subordinates carry out duties",,
1106,2021-0277,Milwaukee Police Department,Closed,11/11/2021,3/23/2023,"Integrity, 3.10 - FT be forthright or candid in a report","Integrity, 3.01 - Behavior that could discredit the Dept.","Leadership, 4.01 - FT set an example","Leadership, 4.05 - FT maintain professional standards"
1107,2021-0278,Milwaukee Police Department,Closed,11/11/2021,1/9/2022,"Respect, 5.01 - FT be civil & courteous",,,
1108,2021-0279,Milwaukee Police Department,Closed,11/12/2021,3/28/2023,"Competence, 1.05 - SOP Arrest Authority","Restraint, 6.02 - Inhumane Treatment of a Person","Respect, 5.01 - FT be civil & courteous",
1109,2021-0280,Milwaukee Police Department,Closed,11/12/2021,12/16/2021,"Competence, 1.05 - SOP Bodyworn Camera","Respect, 5.01 - FT treat the public with courtesy & professionalism",,
1110,2021-0281,Milwaukee Police Department,Closed,11/21/2021,12/22/2021,"Competence, 1.05 - SOP Vehicle Operations",,,
1111,2021-0282,Milwaukee Police Department,Closed,11/24/2021,2/11/2022,"Competence, 1.05 - SOP Vehicle Operations",,,
VOID,,VOIDED INCIDENT,,,,,,,
1112,2021-0283,Milwaukee Police Department,Closed,11/15/2021,1/3/2024,"Competence, 1.05 - SOP Vehicle Pursuits and Emergency Operations",,,
1113,2021-0284,Milwaukee Police Department,Closed,11/15/2021,1/26/2022,"Competence, 1.04 - FT Fully Investigate","Respect, 5.01 - FT be civil & courteous",,
1114,2021-0285,Milwaukee Police Department,Closed,11/18/2021,6/20/2024,"Competence, 1.05 - SOP Electronic Control Device","Competence, 1.05 - SOP Domestic Violence",,
1115,2021-0286,Milwaukee Police Department,Closed,11/19/2021,1/10/2023,"Restraint, 6.01 - Excessive use of force - Bodily",,,
1116,2021-0287,Milwaukee Police Department,Closed,11/22/2021,MISSING DATE,"Competence, 1.04 - FT Fully Investigate",,,
1117,2021-0288,Milwaukee Police Department,Closed,11/24/2021,2/11/2022,"Competence, 1.05 - SOP LEP / Hearing Impaired Persons",,,
1118,2021-0289,Milwaukee Police Department,Closed,11/22/2021,11/2/2023,"Integrity, 3.05 - FT State Misconduct in Public Office","Integrity, 3.01 - Behavior that could discredit the Dept.","Integrity, 3.04 - FT Treat Dept. Info as Confidential","3.06 - Integrity, 3.06 - Interfering in the business of another"
1119,2021-0290,Milwaukee Police Department,Closed,11/16/2021,2/25/2022,"Respect, 5.03 - FT obey an order",,,
1120,2021-0291,Milwaukee Police Department,Closed,11/19/2021,12/13/2021,No Allegation,,,
1121,2021-0292,Milwaukee Police Department,Closed,11/29/2021,1/26/2024,"Competence, 1.05 - SOP FT Search Squad","Competence, 1.05 - SOP Prisoner - Searching Of","Competence, 1.05 - Bodyworn Camera",
1122,2021-0293,Milwaukee Police Department,Closed,11/29/2021,2/25/2022,"Restraint, 6.01 - Excessive use of force - Bodily",,,
1123,2021-0294,Milwaukee Police Department,Closed,11/29/2021,3/23/2023,"Competence, 1.05 - SOP Bodyworn Camera","Integrity, 3.01 - Behavior that could discredit the dept; Integrity, 3.03 - Improper Search & Seizure","Leadership, 4.04",Unjustified Search
1124,2021-0295,Milwaukee Police Department,Closed,11/30/2021,12/22/2021,"Respect, 5.03 - FT obey an order","Competence, 1.05 - SOP Uniforms/Equipment/Appearance",,
1125,2021-0296,Milwaukee Police Department,Closed,11/30/2021,2/11/2022,"Integrity, 3.03 - Unlawful traffic stop",,,
1126,2021-0297,Milwaukee Police Department,Closed,12/1/2021,10/31/2022,"Competence, 1.05 - SOP Property",,,
1127,2021-0298,Milwaukee Police Department,Closed,12/2/2021,7/15/2022,"Integrity, 3.05 - FT State Misconduct in Public Office",,,
1128,2021-0299,Milwaukee Police Department,Closed,12/7/2021,4/12/2023,"Restraint, 6.01 - Failure to exercise restraint in proportion to the offense",,,
1129,2021-0300,Milwaukee Police Department,Closed,12/2/2021,11/18/2022,"Leadership, 4.03","Competence, 1.05 - SOP Vehicle Pursuits and Emergency Vehicle Operations",,
1130,2021-0301,Milwaukee Police Department,Closed,12/8/2021,4/21/2022,"Competence, 1.05 - SOP Vehicle Crashes","Competence, 1.05 - SOP Safe Vehicle Operations",,
VOID,,VOIDED INCIDENT,,,,,,,
1131,2021-0302,Milwaukee Police Department,Closed,12/13/2021,2/10/2022,"Competence, 1.04 - FT Fully Investigate","Leadership, 4.04 - FT ensure subordinates carry out duties",,
1132,2021-0303,Milwaukee Police Department,Closed,12/13/2021,2/11/2022,"Competence, 1.04 - FT Fully Investigate",,,
1133,2021-0304,Milwaukee Police Department,Closed,12/13/2021,12/16/2021,"Integrity, 3.04 - FT Treat Dept. Info as Confidential",,,
1134,2021-0305,Milwaukee Police Department,Closed,12/16/2021,7/14/2022,"Integrity, 3.00",,,Unjustified Search
1135,2021-0306,Milwaukee Police Department,Closed,12/17/2021,6/10/2022,"Competence, 1.05 - SOP Uniforms/Equipment/Appearance",,,
1136,2021-0307,Milwaukee Police Department,Closed,12/17/2021,12/8/2022,"Competence, 1.04 - FT Fully Investigate",,,
1137,2021-0308,Milwaukee Police Department,Closed,12/18/2021,3/8/2022,"Competence, 1.04 - FT Fully Investigate",,,
1138,2021-0309,Milwaukee Police Department,Closed,12/21/2021,8/5/2022,"Integrity, 3.05 - FT CITY - THEFT","Integrity, 3.05 - FT STATE - THEFT",,
1139,2021-0310,Milwaukee Police Department,Closed,11/30/2021,2/24/2022,"Integrity, 3.11 - FT be honest & accurate in a report",,,
1140,2021-0311,Milwaukee Police Department,Closed,12/22/2021,1/9/2023,"Integrity, 3.03 - Unfair arrest","Competence, 1.05 - SOP Arrest Authority",,
1141,2021-0312,Milwaukee Police Department,Closed,12/23/2021,5/6/2022,"Respect, 5.01 - FT be civil & courteous",,,
1142,2021-0313,Milwaukee Police Department,Closed,12/30/2021,9/28/2022,"Competence, 1.05 - SOP Vehicle Pursuits","Respect, 5.01 - FT treat the public with courtesy & professionalism",,
1143,2021-0314,Milwaukee Police Department,Closed,12/31/2021,3/16/2022,"Competence, 1.05 - SOP Property",,,
2022 - Q1,,,,,,,,,
1144,2022-0001,Milwaukee Police Department,Closed,1/4/2022,1/12/2022,Discourtesy,,,
1145,2022-0002,Milwaukee Police Department,Closed,1/4/2022,1/5/2022,Not noted,,,
1146,2022-0003,Milwaukee Police Department,Closed,1/5/2022,1/11/2022,Department Procedures,,,
1147,2022-0004,Milwaukee Police Department,Closed,1/10/2022,2/18/2022,Department Services,,,
1148,2022-0005,Milwaukee Police Department,Closed,1/10/2022,3/7/2022,Department Procedures,Department Services,Discourtesy,
1149,2022-0006,Milwaukee Police Department,Closed,1/10/2022,1/31/2022,No Allegation,,,
1150,2022-0007,Milwaukee Police Department,Closed,1/10/2022,1/17/2022,Department Procedures,Department Services,,
1151,2022-0008,Milwaukee Police Department,Closed,1/12/2022,2/25/2022,Department Procedures,,,
1152,2022-0009,Milwaukee Police Department,Closed,1/18/2022,1/18/2022,Not noted,,,
1153,2022-0010,Milwaukee Fire Department,Closed,1/20/2022,2/25/2022,Not noted,,,
1154,2022-0011,Milwaukee Police Department,Closed,1/20/2022,3/3/2022,Department Procedures,,,
1155,2022-0012,Milwaukee Police Department,Closed,1/21/2022,2/25/2022,Department Procedures,,,
1156,2022-0013,Milwaukee Police Department,Closed,1/24/2022,1/28/2022,Not noted,,,
1157,2022-0014,Milwaukee Police Department,Closed,1/13/2022,2/1/2022,Not noted,,,
1158,2022-0015,Milwaukee Fire Department,Closed,1/28/2022,2/24/2022,Department Services,,,
1159,2022-0016,Milwaukee Police Department,Closed,2/2/2022,2/3/2022,Department Procedures,,,
1160,2022-0017,Non-Employee,Closed,2/1/2022,2/1/2022,Not noted,,,
1161,2022-0018,Milwaukee Police Department,Closed,2/1/2022,6/7/2022,Not noted - referred for FPC Citizen Complaint Trial,,,
1162,2022-0019,Milwaukee Fire Department,Closed,2/7/2022,2/23/2022,Discourtesy,,,
1163,2022-0020,Milwaukee Police Department,Closed,2/24/2022,5/2/2022,Not noted,,,
1164,2022-0021,Milwaukee Police Department,Closed,3/8/2022,3/17/2022,Department Procedures,,,
1165,2022-0022,Milwaukee Police Department,Closed,3/9/2022,3/10/2022,Not noted,,,
1166,2022-0023,Milwaukee Police Department,Closed,3/3/2022,3/3/2022,Department Procedures,,,
1167,2022-0024,Unknown,Closed,3/9/2022,3/9/2022,Not noted,,,
1168,2022-0025,Non-Employee,Closed,3/10/2022,3/11/2022,Department Procedures,,,
1169,2022-0026,Milwaukee Police Department,Closed,3/15/2022,3/24/2022,Department Services,,,
1170,2022-0027,Milwaukee Police Department,Closed,3/17/2022,4/13/2022,Department Procedures,Discourtesy,,
1171,2022-0028,Milwaukee Police Department,Closed,3/21/2022,3/21/2022,Not noted,,,
1172,2022-0029,Milwaukee Police Department,Closed,3/28/2022,3/28/2022,Department Services,,,
1173,2022-0030,Milwaukee Police Department,Closed,3/28/2022,3/28/2022,Not noted,,,
1174,2022-0031,Milwaukee Fire Department,Closed,3/28/2022,6/24/2022,Department Services,,,
1175,2022-0032,Milwaukee Fire Department,Closed,3/30/2022,3/31/2022,Not noted,,,
1176,2022-0033,Milwaukee Police Department,Closed,1/1/2022,10/2/2023,"Respect, 5.01 - FT be civil & courteous","Competence, 1.05 - SOP Equal Employment Opportunity",,
1177,2022-0034,Milwaukee Police Department,Closed,1/13/2022,2/9/2022,"Respect, 5.01 - FT be civil & courteous",,,
1178,2022-0035,Milwaukee Police Department,Closed,1/3/2022,3/2/2023,"Competence, 1.05 - Prisoner Escape","Competence, 1.05 - SOP Bodyworn Camera",,
1179,2022-0036,Milwaukee Police Department,Closed,1/4/2022,8/2/2022,"Competence, 1.02 - FT cooperate with a citizen to ensure public safety","Competence, 1.05 - SOP Bodyworn Camera","Competence, 1.05 - SOP Crime Scene Investigations",
1180,2022-0037,Milwaukee Police Department,Closed,1/7/2022,3/11/2022,"Respect, 5.01 - FT be civil & courteous",,,
1181,2022-0038,Milwaukee Police Department,Closed,1/10/2022,6/10/2022,"Leadership, 4.04 - FT ensure subordinates cooperation","Competence, 1.05 - SOP Bodyworn Camera","Competence, 1.05 - SOP Towing Procedures","Competence, 1.04 - FT fully investigate"
1182,2022-0039,Milwaukee Police Department,Closed,1/10/2022,1/18/2023,"Competence, 1.05 - Prisoners and Booking","Competence, 1.05 - SOP Bodyworn Camera",,
1183,2022-0040,Milwaukee Police Department,Closed,1/1/2022,4/5/2023,"Competence, 1.05 - SOP Absence","Integrity, 3.10 - FT be forthright or candid",,
1184,2022-0041,Milwaukee Police Department,Closed,1/14/2022,5/24/2022,"Competence, 1.04 - FT fully investigate",,,
1185,2022-0042,Milwaukee Police Department,Closed,1/18/2022,9/15/2022,"Integrity, 3.05 - FT City Theft",,,
1186,2022-0043,Milwaukee Police Department,Closed,1/18/2022,2/25/2022,"Competence, 1.04 - FT fully investigate",,,
1187,2022-0044,Milwaukee Police Department,Closed,1/18/2022,3/15/2022,"Competence, 1.03 - FT render service promptly and efficiently","Respect, 5.01 FT be civil & courteous",,
1188,2022-0045,Milwaukee Police Department,Closed,1/18/2022,6/1/2022,"Competence, 1.04 - FT fully investigate","Respect, 5.01 FT be civil & courteous",,
1189,2022-0046,Milwaukee Police Department,Closed,1/18/2022,10/14/2022,"Restraint, 6.01 - Excessive use of force -bodily",,,
1190,2022-0047,Milwaukee Police Department,Closed,1/20/2022,2/2/2023,"Integrity, 3.05 - FT City - OWI","Integrity, 3.01 - Behavior that could discredit the Dept.",,
1191,2022-0048,Milwaukee Police Department,Closed,1/21/2022,11/3/2022,"Restraint, 6.01 - Excessive use of force -bodily",,,
1192,2022-0049,Milwaukee Police Department,Closed,1/24/2022,3/23/2022,"Restraint, 6.01 - Excessive use of force -bodily","Integrity, 3.03 - Unfair Arrest",,
1193,2022-0050,Milwaukee Police Department,Closed,1/24/2022,4/21/2022,"Competence, 1.04 - FT fully investigate",,,
1194,2022-0051,Milwaukee Police Department,Closed,1/25/2022,5/6/2022,"Integrity, 3.05 - FT CITY - Damage to Property",,,
VOID,,VOIDED INCIDENT,,,,,,,
1195,2022-0052,Milwaukee Police Department,Closed,1/25/2022,4/20/2023,"Competence, 1.05 - SOP Use of Force - Notification","Restraint, 6.01 - Excessive use of force - Bodily","Respect, 5.01 - FT be civil & courteous",
1196,2022-0053,Milwaukee Police Department,Closed,1/25/2022,3/11/2022,"Competence, 1.04 - FT be efficient",,,
1197,2022-0054,Milwaukee Police Department,Closed,1/28/2022,6/22/2022,"Competence, 1.04 - FT fully investigate","Competence, 1.05 - SOP Bodyworn Camera",,
1198,2022-0055,Milwaukee Police Department,Closed,1/28/2022,7/7/2022,"Competence, 1.05 - SOP Court Procedures","Respect, 5.03 - FT obey an order",,
1199,2022-0056,Milwaukee Police Department,Closed,1/31/2022,7/18/2023,"Integrity, 3.05 - FT City - OWI","Integrity, 3.01 - Behavior that could discredit the Dept.",,
1200,2022-0057,Milwaukee Police Department,Closed,2/2/2022,9/11/2023,"Leadership, 4.03",,,
1201,2022-0058,Milwaukee Police Department,Closed,2/2/2022,9/11/2023,"Respect, 5.01 - FT treat another member with courtesy & professionalism",,,
1202,2022-0059,Milwaukee Police Department,Closed,1/27/2022,6/14/2022,"Competence, 1.05 - SOP Use of Force - Notification","Competence, 1.05 - SOP Bodyworn Camera", ,
1203,2022-0060,Milwaukee Police Department,Closed,2/3/2022,8/12/2022,"Competence, 1.05 - Stat. Req. for vehicle pursuits","Competence, 1.05 - SOP Communications","Competence, 1.05 - SOP Bodyworn Camera",
1204,2022-0061,Milwaukee Police Department,Open,2/7/2022,,"Restraint, 6.01 - Excessive use of force - Firearm",,,
1205,2022-0062,Milwaukee Police Department,Closed,2/8/2022,3/25/2022,"Respect, 5.01 - FT be civil & courteous",,,
1206,2022-0063,Milwaukee Police Department,Closed,2/8/2022,7/15/2022,"Respect, 5.01 - FT treat another member with courtesy & professionalism",,,
1207,2022-0064,Milwaukee Police Department,Closed,2/8/2022,4/18/2022,"Integrity, 3.03 - Improper Stop/Detention of a Citizen",,,
1208,2022-0065,Milwaukee Police Department,Closed,2/10/2022,1/17/2023,"Restraint, 6.01 - Excessive use of force -bodily",,,
